obsnme,obsval,ROW,COLUMN,TIME,spec
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:106_j:72_time:60_spec:ctet,0.0,106,72,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:89_j:64_time:60_spec:ctet,0.0,89,64,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:94_j:71_time:60_spec:ctet,0.0,94,71,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:58_time:60_spec:ctet,0.0,97,58,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:89_j:80_time:60_spec:ctet,0.0,89,80,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:107_j:91_time:60_spec:ctet,0.0,107,91,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:92_j:91_time:60_spec:ctet,0.0,92,91,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:85_j:91_time:60_spec:ctet,0.0,85,91,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:91_time:60_spec:ctet,0.0,97,91,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:90_j:87_time:60_spec:ctet,0.0,90,87,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:110_j:87_time:60_spec:ctet,0.0,110,87,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:99_j:63_time:60_spec:ctet,0.0,99,63,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:107_j:79_time:60_spec:ctet,0.0,107,79,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:102_j:91_time:60_spec:ctet,0.0,102,91,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:95_j:74_time:60_spec:ctet,0.0,95,74,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:87_j:86_time:60_spec:ctet,0.0,87,86,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:86_time:60_spec:ctet,0.0,97,86,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:94_j:80_time:60_spec:ctet,0.0,94,80,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:103_j:87_time:60_spec:ctet,0.0,103,87,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:72_time:60_spec:ctet,0.0,100,72,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:80_time:60_spec:ctet,0.0,97,80,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:85_time:60_spec:ctet,0.0,100,85,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:106_j:56_time:60_spec:ctet,0.0,106,56,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:104_j:53_time:60_spec:ctet,0.0,104,53,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:102_j:58_time:60_spec:ctet,0.0,102,58,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:95_j:45_time:60_spec:ctet,0.0,95,45,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:45_time:60_spec:ctet,0.0,105,45,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:110_j:39_time:60_spec:ctet,0.0,110,39,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:111_j:45_time:60_spec:ctet,0.0,111,45,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:114_j:43_time:60_spec:ctet,0.0,114,43,60,ctet
