WELL_NAME                WELL_ID                X                Y                TOPSCR                BOTSCR                TOPWEL                BOTWEL                2W_ROW                2W_COL                W2_ROW                W2_COL                E2_ROW                E2_COL
299-W19-4                A4958                567949.94                135350.80                140.96                55.62                219.02                51.38                117                83                167                127                0                0
299-W18-23                A4935                566084.53                135342.44                145.71                136.35                213.48                135.76                118                46                168                46                0                0
299-W18-24                A4936                566370.84                135346.32                146.40                137.26                209.70                136.55                118                52                168                52                0                0
699-38-70B                C4236                568469.10                135331.04                97.86                93.28                222.56                76.71                118                94                168                153                0                0
699-39-68                C9607                569077.90                135332.77                134.81                89.09                226.75                86.03                118                106                168                170                0                0
699-38-70C                C4256                569084.11                135325.58                105.33                100.75                226.67                98.96                118                106                169                170                0                0
299-W18-9                A7526                566472.96                135302.12                152.75                143.60                209.11                142.06                118                54                170                54                0                0
299-W18-10                A4931                566485.94                135300.69                150.96                143.55                208.87                141.81                118                54                170                55                0                0
299-W18-27                A4939                566090.19                135226.54                144.32                138.07                211.35                138.66                120                46                174                46                0                0
299-W18-19                A7532                566610.49                135202.53                151.47                142.32                205.56                129.36                120                57                175                61                0                0
299-W18-260                C8925                566862.54                135196.89                131.97                122.83                205.78                106.32                121                62                175                73                0                0
