WELL_NAME         WELL_ID         X         Y         TOP         BOT         ROW         COLUMN         delx         dely         area
299-W11-5         A7278         567443.375         136592.406         140.996         127.847         32         49         200.0000         200.0000         40000.0000
299-W11-6         A4909         567481.625         136492.844         140.524         132.721         32         49         200.0000         200.0000         40000.0000
299-W11-8         A7279         567644.375         136495.688         140.976         125.736         32         50         200.0000         200.0000         40000.0000
299-E29-54         C5860         573467.150         136403.120         124.307         118.217         32         79         200.0000         200.0000         40000.0000
299-E28-4         A4825         573998.750         136513.156         121.864         116.682         32         81         200.0000         200.0000         40000.0000
299-E27-1         A4807         574515.125         136536.813         128.438         110.921         32         84         200.0000         200.0000         40000.0000
299-E27-12         A4810         575054.125         136583.531         126.410         119.979         32         87         200.0000         200.0000         40000.0000
299-E27-13         A4811         575064.938         136489.219         126.791         120.359         32         87         200.0000         200.0000         40000.0000
299-E27-4         C4125         575032.000         136497.922         122.292         111.620         32         87         200.0000         200.0000         40000.0000
299-E27-21         C4127         575145.000         136407.203         122.281         111.595         32         87         200.0000         200.0000         40000.0000
299-E27-23         C4190         575069.460         136452.230         123.195         112.518         32         87         200.0000         200.0000         40000.0000
299-E27-14         A4812         575217.313         136498.250         125.919         119.518         32         88         200.0000         200.0000         40000.0000
299-E26-13         A4802         576199.313         136528.594         125.992         119.713         32         92         200.0000         200.0000         40000.0000
699-43-45         A5180         576283.815         136585.729         127.372         120.971         32         93         200.0000         200.0000         40000.0000
699-42-42B         A5171         576998.125         136433.922         121.787         115.691         32         96         200.0000         200.0000         40000.0000
699-43-41E         A5174         577478.625         136594.359         126.769         123.538         32         99         200.0000         200.0000         40000.0000
699-43-41F         A5175         577479.375         136579.000         117.740         114.479         32         99         200.0000         200.0000         40000.0000
699-43-41G         A5176         577466.438         136586.609         110.651         107.603         32         99         200.0000         200.0000         40000.0000
699-42-40A         A5167         577638.125         136421.766         124.069         115.342         32         100         200.0000         200.0000         40000.0000
699-42-40B         A5168         577638.000         136413.875         127.244         121.719         32         100         200.0000         200.0000         40000.0000
699-42-12A         A5163         586331.250         136445.406         126.475         101.482         32         143         200.0000         200.0000         40000.0000
299-W15-2         A5466         566093.750         136336.234         145.965         134.833         33         42         200.0000         200.0000         40000.0000
299-W15-12         A4917         566699.188         136368.766         145.829         139.733         33         45         200.0000         200.0000         40000.0000
299-W15-40         B8550         566652.500         136204.969         138.629         127.921         33         45         200.0000         200.0000         40000.0000
299-W10-18         A4895         566846.875         136396.281         143.758         137.266         33         46         200.0000         200.0000         40000.0000
299-W14-18         C3396         566897.500         136344.156         137.798         127.133         33         46         200.0000         200.0000         40000.0000
