TIME,WELL_NAME,MASS_KG
1127,299-W14-74,17.76874441
1155,299-W14-74,16.12517971
1186,299-W14-74,3.055621107
1216,299-W14-74,16.04179512
1247,299-W14-74,18.57978154
1277,299-W14-74,18.24510845
1308,299-W14-74,18.22858783
1339,299-W14-74,18.4768325
1369,299-W14-74,17.70636296
1400,299-W14-74,19.43535618
1430,299-W14-74,18.79390189
1461,299-W14-74,19.52092903
1492,299-W14-74,18.51234979
1520,299-W14-74,16.64608892
1551,299-W14-74,13.26736258
1581,299-W14-74,14.46551676
1612,299-W14-74,17.81762112
1642,299-W14-74,18.18494718
1673,299-W14-74,19.4718573
1704,299-W14-74,17.86090479
1734,299-W14-74,16.85062638
1765,299-W14-74,12.10204164
1795,299-W14-74,16.96255466
1826,299-W14-74,19.71134465
1857,299-W14-74,19.68203894
1886,299-W14-74,18.46703377
1917,299-W14-74,19.31513835
1947,299-W14-74,18.21913412
1978,299-W14-74,18.2932335
2008,299-W14-74,18.20077539
2039,299-W14-74,18.98712712
2070,299-W14-74,19.58388723
2100,299-W14-74,18.94510518
2131,299-W14-74,19.18345991
2161,299-W14-74,18.92927311
2192,299-W14-74,19.37219349
2223,299-W14-74,19.29544484
2251,299-W14-74,17.28226405
2282,299-W14-74,18.9557213
2312,299-W14-74,17.82476831
2343,299-W14-74,18.85431056
2373,299-W14-74,18.14029835
2404,299-W14-74,18.17326785
2435,299-W14-74,17.49636807
2465,299-W14-74,16.5749597
2496,299-W14-74,18.49629476
2526,299-W14-74,17.78327688
2557,299-W14-74,18.41905486
2588,299-W14-74,18.15668572
2616,299-W14-74,16.41707707
2647,299-W14-74,18.013668
2677,299-W14-74,17.40849388
2708,299-W14-74,17.78183497
2738,299-W14-74,17.24019073
2769,299-W14-74,17.75946064
2800,299-W14-74,16.66060232
2830,299-W14-74,16.66388139
2861,299-W14-74,17.41120792
2891,299-W14-74,16.73652672
2922,299-W14-74,17.1973015
2953,299-W14-74,16.8048971
2981,299-W14-74,15.13041438
3012,299-W14-74,16.79778596
3042,299-W14-74,16.18153534
3073,299-W14-74,16.70272639
3103,299-W14-74,16.3568452
3134,299-W14-74,16.45186599
3165,299-W14-74,16.32338862
3195,299-W14-74,13.84068313
3226,299-W14-74,16.16878465
3256,299-W14-74,15.17617268
3287,299-W14-74,15.691167
3318,299-W14-74,15.39371826
3347,299-W14-74,14.28903503
3378,299-W14-74,15.15631385
3408,299-W14-74,14.55180966
3439,299-W14-74,14.91806857
3469,299-W14-74,14.32224825
3500,299-W14-74,14.68161341
3531,299-W14-74,14.56190906
3561,299-W14-74,13.9784405
3592,299-W14-74,14.33799002
3622,299-W14-74,13.70398363
3653,299-W14-74,13.95217343
3684,299-W14-74,13.72080394
3712,299-W14-74,12.18540674
3743,299-W14-74,13.25826063
3773,299-W14-74,12.59448677
3804,299-W14-74,12.77027169
3834,299-W14-74,12.13118301
3865,299-W14-74,12.29818065
3896,299-W14-74,12.05298307
3926,299-W14-74,11.42951931
3957,299-W14-74,11.56747989
3987,299-W14-74,10.9599244
4018,299-W14-74,11.08485068
4049,299-W14-74,10.84175181
4077,299-W14-74,9.584727597
4108,299-W14-74,10.38353395
4138,299-W14-74,9.821563548
4169,299-W14-74,9.916753382
4199,299-W14-74,9.374901688
4230,299-W14-74,9.461538272
4261,299-W14-74,9.235593565
4291,299-W14-74,8.725935853
4322,299-W14-74,8.803334792
4352,299-W14-74,8.317248035
4383,299-W14-74,8.390854506
4414,299-W14-74,8.188347796
4442,299-W14-74,7.225726696
4473,299-W14-74,7.816048738
4503,299-W14-74,7.383753965
4534,299-W14-74,7.448107135
4564,299-W14-74,7.035898716
4595,299-W14-74,7.097033292
4626,299-W14-74,6.924712394
4656,299-W14-74,6.540819181
5022,299-W14-74,68.89959969
5387,299-W14-74,51.40700752
5752,299-W14-74,38.70478547
6117,299-W14-74,29.40821624
