Month_End,WELL_NAME,MASS_KG
08/31/2013,299-W19-134,0
09/30/2013,299-W19-134,0
10/31/2013,299-W19-134,0
11/30/2013,299-W19-134,0
12/31/2013,299-W19-134,0
01/31/2014,299-W19-134,0
02/28/2014,299-W19-134,0
03/31/2014,299-W19-134,0
04/30/2014,299-W19-134,0
05/31/2014,299-W19-134,0
06/30/2014,299-W19-134,0
07/31/2014,299-W19-134,0
08/31/2014,299-W19-134,0
09/30/2014,299-W19-134,0
10/31/2014,299-W19-134,0
11/30/2014,299-W19-134,0
12/31/2014,299-W19-134,0
01/31/2015,299-W19-134,0
02/28/2015,299-W19-134,0
03/31/2015,299-W19-134,0
04/30/2015,299-W19-134,0
05/31/2015,299-W19-134,0
06/30/2015,299-W19-134,0
07/31/2015,299-W19-134,0
08/31/2015,299-W19-134,0
09/30/2015,299-W19-134,0
10/31/2015,299-W19-134,0
11/30/2015,299-W19-134,0
12/31/2015,299-W19-134,0
01/31/2016,299-W19-134,0
02/29/2016,299-W19-134,0
03/31/2016,299-W19-134,0
04/30/2016,299-W19-134,0
05/31/2016,299-W19-134,0
06/30/2016,299-W19-134,0
07/31/2016,299-W19-134,0
08/31/2016,299-W19-134,0
09/30/2016,299-W19-134,0
10/31/2016,299-W19-134,0
11/30/2016,299-W19-134,0
12/31/2016,299-W19-134,0
01/31/2017,299-W19-134,0
02/28/2017,299-W19-134,0
03/31/2017,299-W19-134,0
04/30/2017,299-W19-134,0
05/31/2017,299-W19-134,0
06/30/2017,299-W19-134,0
07/31/2017,299-W19-134,0
08/31/2017,299-W19-134,0
09/30/2017,299-W19-134,0
10/31/2017,299-W19-134,0
11/30/2017,299-W19-134,0
12/31/2017,299-W19-134,0
01/31/2018,299-W19-134,0
02/28/2018,299-W19-134,0
03/31/2018,299-W19-134,0
04/30/2018,299-W19-134,0
05/31/2018,299-W19-134,0
06/30/2018,299-W19-134,0
07/31/2018,299-W19-134,0
08/31/2018,299-W19-134,0
09/30/2018,299-W19-134,0
10/31/2018,299-W19-134,0
11/30/2018,299-W19-134,0
12/31/2018,299-W19-134,0
01/31/2019,299-W19-134,0
02/28/2019,299-W19-134,0
03/31/2019,299-W19-134,0
04/30/2019,299-W19-134,0
05/31/2019,299-W19-134,0
06/30/2019,299-W19-134,0
07/31/2019,299-W19-134,0
08/31/2019,299-W19-134,0
09/30/2019,299-W19-134,0
10/31/2019,299-W19-134,0
11/30/2019,299-W19-134,0
12/31/2019,299-W19-134,0
01/31/2020,299-W19-134,0
02/29/2020,299-W19-134,0
03/31/2020,299-W19-134,0
04/30/2020,299-W19-134,0
05/31/2020,299-W19-134,0
06/30/2020,299-W19-134,0
07/31/2020,299-W19-134,0
08/31/2020,299-W19-134,0
09/30/2020,299-W19-134,0
10/31/2020,299-W19-134,0
11/30/2020,299-W19-134,0
12/31/2020,299-W19-134,0
01/31/2021,299-W19-134,0
02/28/2021,299-W19-134,0
03/31/2021,299-W19-134,0
04/30/2021,299-W19-134,0
05/31/2021,299-W19-134,0
06/30/2021,299-W19-134,0
07/31/2021,299-W19-134,0
08/31/2021,299-W19-134,0
09/30/2021,299-W19-134,0
10/31/2021,299-W19-134,0
11/30/2021,299-W19-134,0
12/31/2021,299-W19-134,0
01/31/2022,299-W19-134,0
02/28/2022,299-W19-134,0
03/31/2022,299-W19-134,0
04/30/2022,299-W19-134,0
05/31/2022,299-W19-134,0
06/30/2022,299-W19-134,0
07/31/2022,299-W19-134,0
08/31/2022,299-W19-134,0
09/30/2022,299-W19-134,0
10/31/2022,299-W19-134,0
11/30/2022,299-W19-134,0
12/31/2022,299-W19-134,0
01/31/2023,299-W19-134,0
02/28/2023,299-W19-134,0
03/31/2023,299-W19-134,0
04/30/2023,299-W19-134,0
05/31/2023,299-W19-134,0
06/30/2023,299-W19-134,0
07/31/2023,299-W19-134,0.010335121
08/31/2023,299-W19-134,0.191644854
09/30/2023,299-W19-134,0.271301986
10/31/2023,299-W19-134,0.319127002
11/30/2023,299-W19-134,0.270601132
12/31/2023,299-W19-134,0.343011303
01/31/2024,299-W19-134,0.273759899
02/29/2024,299-W19-134,0.263394375
03/31/2024,299-W19-134,0.284050895
04/30/2024,299-W19-134,0.275827474
05/31/2024,299-W19-134,0.28318456
06/30/2024,299-W19-134,0.282607298
07/31/2024,299-W19-134,0.274625127
08/31/2024,299-W19-134,0.193999213
09/30/2024,299-W19-134,0.170513874
10/31/2024,299-W19-134,0.156085777
11/30/2024,299-W19-134,0.122157888
12/31/2024,299-W19-134,0.158709067
07/31/2012,299-W19-125,0
08/31/2012,299-W19-125,0
09/30/2012,299-W19-125,0
10/31/2012,299-W19-125,0
11/30/2012,299-W19-125,0
12/31/2012,299-W19-125,0
01/31/2013,299-W19-125,0
02/28/2013,299-W19-125,0
03/31/2013,299-W19-125,0
04/30/2013,299-W19-125,0
05/31/2013,299-W19-125,0
06/30/2013,299-W19-125,0
07/31/2013,299-W19-125,0
08/31/2013,299-W19-125,0
09/30/2013,299-W19-125,0
10/31/2013,299-W19-125,0
11/30/2013,299-W19-125,0
12/31/2013,299-W19-125,0
01/31/2014,299-W19-125,0
02/28/2014,299-W19-125,0
03/31/2014,299-W19-125,0
04/30/2014,299-W19-125,0
05/31/2014,299-W19-125,0
06/30/2014,299-W19-125,0
07/31/2014,299-W19-125,0
08/31/2014,299-W19-125,0
09/30/2014,299-W19-125,0
10/31/2014,299-W19-125,0
11/30/2014,299-W19-125,0
12/31/2014,299-W19-125,0
01/31/2015,299-W19-125,0
02/28/2015,299-W19-125,0
03/31/2015,299-W19-125,0
04/30/2015,299-W19-125,0
05/31/2015,299-W19-125,0
06/30/2015,299-W19-125,0
07/31/2015,299-W19-125,0
08/31/2015,299-W19-125,0
09/30/2015,299-W19-125,0
10/31/2015,299-W19-125,0
11/30/2015,299-W19-125,0
12/31/2015,299-W19-125,0
01/31/2016,299-W19-125,0
02/29/2016,299-W19-125,0
03/31/2016,299-W19-125,0
04/30/2016,299-W19-125,0
05/31/2016,299-W19-125,0
06/30/2016,299-W19-125,0
07/31/2016,299-W19-125,0
08/31/2016,299-W19-125,0
09/30/2016,299-W19-125,0
10/31/2016,299-W19-125,0
11/30/2016,299-W19-125,0
12/31/2016,299-W19-125,0
01/31/2017,299-W19-125,0
02/28/2017,299-W19-125,0
03/31/2017,299-W19-125,0
04/30/2017,299-W19-125,0
05/31/2017,299-W19-125,0
06/30/2017,299-W19-125,0
07/31/2017,299-W19-125,0
08/31/2017,299-W19-125,0
09/30/2017,299-W19-125,0.531176552
10/31/2017,299-W19-125,1.519123603
11/30/2017,299-W19-125,1.485365301
12/31/2017,299-W19-125,1.535658282
01/31/2018,299-W19-125,1.530835667
02/28/2018,299-W19-125,1.381334614
03/31/2018,299-W19-125,1.495120236
04/30/2018,299-W19-125,1.3247968
05/31/2018,299-W19-125,1.143479963
06/30/2018,299-W19-125,1.089791002
07/31/2018,299-W19-125,1.121118171
08/31/2018,299-W19-125,1.117820802
09/30/2018,299-W19-125,1.103960572
10/31/2018,299-W19-125,1.250523599
11/30/2018,299-W19-125,1.27462149
12/31/2018,299-W19-125,1.205182239
01/31/2019,299-W19-125,1.06394034
02/28/2019,299-W19-125,0.809028558
03/31/2019,299-W19-125,0.932918442
04/30/2019,299-W19-125,0.831558093
05/31/2019,299-W19-125,0.964359686
06/30/2019,299-W19-125,0.809320657
07/31/2019,299-W19-125,0.820555925
